record_id,year,region,district,school_name,school_type,rainfall_mm,average_temperature_c,attendance_rate_pct,graduation_rate_pct,teacher_student_ratio,electricity_outage_days
295,2019,Upper West,Lawra,Ghana National College,mission,71.2,31,73.5,84.2,0.032,5
296,2020,Eastern,Nsawam,UCC Practice School,mission,36.5,29.7,83.3,84.6,0.033,7
297,2018,Upper East,Bolgatanga,Cape Coast Technical University,private,44.3,31.4,83.8,83,0.031,1
298,2020,Eastern,Nsawam,Ghana National College,mission,34.4,30.6,68.1,74.7,0.048,2
299,2022,Volta,Kpando,Apam SHS,public,88.7,22.4,84.6,84.4,0.033,3
300,2023,Central,Komenda,Cape Coast Technical University,public,120.8,26.3,80.5,81.6,0.039,5
301,2019,Volta,Hohoe,St Augustine's College,private,54.3,34.6,86.5,89.7,0.034,7
302,2024,Upper East,Paga,Adisadel College,private,67.6,27.7,83.1,93.3,0.055,4
303,2021,Oti,Kadjebi,Cape Coast Technical University,private,71.6,32.9,85.5,83.9,0.045,3
304,2023,Upper East,Bolgatanga,Ghana National College,public,66.6,22.4,66.7,81.7,0.035,4
305,2021,Eastern,Nsawam,Ghana National College,private,51,25.7,79.6,78.9,0.03,5
306,2020,Northern,Yendi,St Augustine's College,private,70.3,28.5,90.5,87.4,0.039,5
307,2019,North East,Bunkpurugu,St Augustine's College,public,84.1,30.8,74.4,86.7,0.032,9
308,2019,Bono East,Kintampo,Adisadel College,public,112,25,78.2,83,0.031,8
309,2025,Ashanti,Kumasi,Apam SHS,mission,38.8,28.9,78.7,82,0.035,2
310,2020,Bono East,Atebubu,Cape Coast Technical University,private,65.6,28.8,87.6,84.7,0.055,6
311,2021,Upper West,Jirapa,Mfantsipim School,public,55.4,31.1,81.6,87,0.038,3
312,2023,Eastern,Nsawam,Cape Coast Technical University,private,46.6,28.6,62.6,78.1,0.032,2
313,2022,Oti,Dambai,UCC Practice School,mission,52.9,26,74,77.4,0.036,1
314,2023,Greater Accra,Kasoa East,Ghana National College,private,105.8,29,68.8,87.2,0.04,5
315,2021,Savannah,Damongo,Apam SHS,private,51.4,33.1,76.9,79.7,0.028,6
316,2018,Bono East,Techiman,Mfantsipim School,mission,16.2,26.6,76.1,90.6,0.035,1
317,2021,Upper West,Wa,UCC Practice School,private,72.6,28.8,80.2,77.3,0.031,4
318,2018,Savannah,Sawla,Apam SHS,mission,77.6,26.3,93.1,99,0.029,2
319,2018,Savannah,Sawla,Ghana National College,mission,31.7,32.8,73.1,89.8,0.053,3
320,2025,Bono,Sunyani,Ghana National College,mission,61.7,27.1,62.2,71.8,0.035,7
321,2025,Ahafo,Asutifi South,Ghana National College,private,57.5,31.8,77.2,83.7,0.032,4
322,2022,Volta,Kpando,St Augustine's College,private,58.1,30.4,74.7,83.1,0.047,1
323,2022,Upper West,Wa,UCC Practice School,public,57.4,23.4,70.5,77,0.028,6
324,2023,Greater Accra,Kasoa East,Mfantsipim School,private,66.9,30.6,75.9,90.9,0.055,6
325,2021,Ahafo,Asunafo North,Wesley Girls,private,36,27.1,66.1,85,0.055,2
326,2023,Western North,Bibiani,Apam SHS,mission,42.6,28.8,71.9,87.5,0.049,5
327,2024,Upper West,Wa,St Augustine's College,mission,47.1,26.2,68.9,86,0.055,4
328,2025,North East,Nalerigu,Ghana National College,private,58.1,37,67.5,76.6,0.034,5
329,2024,Central,Mfantsiman,Mfantsipim School,private,48.7,30.1,77.6,85.8,0.034,4
330,2020,North East,Chereponi,Mfantsipim School,private,57.8,31.7,74,85.6,0.052,2
331,2021,Volta,Ho,Adisadel College,public,51.2,27.9,84.6,79.6,0.044,5
332,2024,Ashanti,Ejisu,St Augustine's College,public,72,28.6,80.5,81.9,0.047,3
333,2022,Bono,Sunyani,Wesley Girls,mission,62.7,23.6,79.7,86.7,0.027,7
334,2023,Bono East,Atebubu,UCC Practice School,private,70,29.9,88.8,79.5,0.04,1
335,2018,Ashanti,Obuasi,Adisadel College,mission,67.3,25.3,73.5,83.5,0.034,4
336,2024,Bono East,Nkoranza,Apam SHS,public,89.1,27.3,86.9,86.1,0.031,4
337,2018,Western,Tarkwa,Mfantsipim School,public,42.9,27,77.6,74.8,0.041,9
338,2025,Eastern,Suhum,Adisadel College,public,93.2,24.3,79.7,88.9,0.034,3
339,2020,Savannah,Bole,Ghana National College,mission,93.4,27.7,88.9,98.2,0.042,6
340,2021,Western North,Bibiani,St Augustine's College,public,55.7,31.3,86.9,85.1,0.029,4
341,2020,Upper West,Wa,Wesley Girls,private,62.5,25.1,75.7,79.9,0.05,3
342,2020,Greater Accra,Tema,Cape Coast Technical University,mission,49.1,30.2,81.2,85.8,0.054,5
343,2021,Eastern,Nsawam,Wesley Girls,public,52.6,29,73.8,85.8,0.045,5
344,2024,Greater Accra,Madina,Mfantsipim School,mission,58,28.7,80.9,77.9,0.03,3
345,2019,Ashanti,Mampong,Adisadel College,mission,68.2,23.2,82.4,88.9,0.048,5
346,2021,Ahafo,Asutifi South,Wesley Girls,mission,45.1,27,70.6,81.7,0.052,2
347,2020,Upper West,Jirapa,UCC Practice School,public,58.7,33.8,75,72.7,0.037,2
348,2023,Volta,Ho,Wesley Girls,public,30.8,26.9,92.3,85.3,0.041,6
349,2019,Western,Shama,Ghana National College,private,22.2,30.3,79.2,84.1,0.028,7
350,2024,Northern,Savelugu,Ghana National College,private,54.9,27.4,81.1,82.3,0.042,5
351,2023,Greater Accra,Accra,Mfantsipim School,private,21,25.2,78.6,85.4,0.028,2
352,2020,Upper West,Jirapa,Cape Coast Technical University,private,40.7,27.1,68.9,80.8,0.037,6
353,2020,Upper West,Tumu,Adisadel College,private,59,32.7,60.2,73.8,0.034,7
354,2024,Savannah,Salaga,Ghana National College,mission,79.6,32.2,80.1,93.5,0.032,6
355,2020,Ashanti,Ejisu,Adisadel College,private,41.7,25.1,65,69.9,0.051,1
356,2023,Volta,Kpando,UCC Practice School,public,28.8,27.2,76,78.8,0.044,2
357,2018,Volta,Keta,Cape Coast Technical University,mission,84.3,25.5,80.3,90.2,0.046,2
358,2021,Volta,Kpando,UCC Practice School,private,113.1,27.5,73.4,85.9,0.041,2
359,2022,Greater Accra,Kasoa East,Mfantsipim School,private,99.6,30.6,69.2,80.6,0.048,9
360,2024,Bono East,Atebubu,St Augustine's College,mission,119.6,29.6,78.2,93,0.037,2
361,2024,Bono,Dormaa,Apam SHS,mission,51.9,32.5,73.2,77.3,0.039,2
362,2024,Bono East,Techiman,Mfantsipim School,mission,120,35.8,83.2,90.1,0.029,4
363,2018,Central,Cape Coast,UCC Practice School,mission,100.7,29.7,75.5,74.4,0.036,8
364,2021,Northern,Tamale,Apam SHS,private,143.6,31.5,76.1,82.1,0.029,2
365,2018,Bono East,Kintampo,St Augustine's College,mission,111.7,34.7,85,88.2,0.04,5
366,2021,Northern,Savelugu,Ghana National College,mission,24.1,26.3,75.3,86.1,0.054,5
367,2024,Western,Shama,Apam SHS,private,52.4,32.8,67.4,77.1,0.05,3
368,2019,Bono East,Atebubu,Wesley Girls,mission,51.8,27.4,65.5,72.5,0.039,1
369,2023,Ahafo,Tano North,Mfantsipim School,public,38.5,30.8,79.2,95,0.035,4
370,2022,Savannah,Damongo,Adisadel College,private,73.5,26.8,78.1,83.6,0.036,5
371,2019,Upper East,Navrongo,Apam SHS,private,15.3,33.2,79.4,78.2,0.04,4
372,2019,Savannah,Salaga,UCC Practice School,mission,56,30.2,83.1,82.3,0.033,2
373,2021,Western North,Bodi,Adisadel College,private,107,28.7,74.9,88.2,0.036,5
374,2020,Savannah,Damongo,UCC Practice School,private,50.2,28.9,95.6,96.8,0.041,4
375,2023,Ahafo,Asutifi South,Cape Coast Technical University,private,38.3,36.8,82.5,81.6,0.051,2
376,2024,Bono East,Atebubu,St Augustine's College,public,48.9,28.8,75.3,94.8,0.029,3
377,2020,Bono East,Atebubu,Apam SHS,private,69.9,24.4,64.3,76.1,0.038,3
378,2020,Oti,Dambai,Apam SHS,public,51.5,27.6,71.2,77.9,0.032,5
379,2020,Greater Accra,Tema,Adisadel College,public,67.2,31.9,86.7,82.2,0.045,5
380,2023,Ahafo,Tano North,Ghana National College,private,41.7,34.2,88.5,82.2,0.043,6
381,2022,Upper East,Navrongo,Apam SHS,private,67.5,31,85.9,88.1,0.043,2
382,2019,Central,Kasoa,St Augustine's College,mission,89.1,24.6,69.8,77.8,0.042,3
383,2018,Oti,Kadjebi,Wesley Girls,public,56.9,27,77.6,77.9,0.048,5
384,2022,North East,Bunkpurugu,Mfantsipim School,private,53.1,27.8,80.8,82,0.031,2
385,2024,North East,Chereponi,St Augustine's College,private,44.7,29.8,88.1,92.6,0.032,3
386,2023,Greater Accra,Accra,UCC Practice School,public,84.3,29.1,78.3,71.9,0.047,2
387,2021,Bono East,Atebubu,Cape Coast Technical University,public,77.6,31.7,72.8,85.6,0.03,3
388,2022,Greater Accra,Accra,Cape Coast Technical University,private,23.7,27,69.3,75.2,0.048,5
389,2022,Ahafo,Asutifi South,Ghana National College,public,37.2,28.8,82.1,93.5,0.031,2
390,2023,Western,Shama,Apam SHS,private,68.5,27.2,60.8,88.8,0.055,3
391,2021,Eastern,Suhum,St Augustine's College,private,81.1,29.8,76.8,81.7,0.028,5
392,2025,Western,Axim,Apam SHS,public,48.1,26.8,86.8,97,0.049,3
393,2018,Upper West,Tumu,Ghana National College,private,30.3,30.1,81.5,80.3,0.033,0
394,2019,Greater Accra,Accra,UCC Practice School,private,37.9,30.9,81.4,77.1,0.036,3
395,2025,Upper East,Navrongo,Cape Coast Technical University,public,22.1,30.5,68.8,70.7,0.053,2
396,2024,Bono,Dormaa,Apam SHS,mission,31.6,27.7,66.7,70.8,0.035,2
397,2025,North East,Nalerigu,St Augustine's College,private,58.5,32.8,74.6,82.8,0.037,3
398,2022,North East,Bunkpurugu,St Augustine's College,private,27.2,29.6,70.5,74.3,0.032,5
399,2024,North East,Chereponi,UCC Practice School,public,41.4,31.9,75.4,97.9,0.029,7
400,2025,Savannah,Sawla,Wesley Girls,public,69.5,34.7,82.1,82,0.029,1
401,2021,Western North,Bodi,St Augustine's College,public,70.8,33.7,80.2,79.9,0.044,3
402,2021,Western,Sekondi-Takoradi,Ghana National College,public,30.8,28,74.7,79.3,0.028,2
403,2018,Central,Cape Coast,St Augustine's College,public,38.8,32.4,75.4,85.5,0.033,4
404,2024,Western North,Bibiani,Adisadel College,mission,50,35.7,73.3,85.5,0.038,4
405,2022,Upper West,Tumu,Apam SHS,mission,60.1,34.7,80.6,90.6,0.029,7
406,2021,Greater Accra,Tema,Wesley Girls,private,45.9,25.7,97.5,91.9,0.048,4
407,2023,Western North,Sefwi Wiawso,Ghana National College,private,58.6,27.8,71.6,89.7,0.055,3
408,2024,Central,Komenda,Mfantsipim School,mission,68.1,31.8,70.5,81.5,0.052,4
409,2023,Upper West,Lawra,UCC Practice School,mission,65,32.2,77.9,85.1,0.054,3
410,2018,North East,Bunkpurugu,UCC Practice School,public,100.1,30.8,67.8,82.9,0.042,2
411,2024,Northern,Savelugu,Cape Coast Technical University,private,28.8,29.8,81.8,84.4,0.031,6
412,2024,Savannah,Damongo,St Augustine's College,public,37.1,33.4,95.6,89.7,0.046,2
413,2025,Bono East,Techiman,UCC Practice School,public,66.3,28.3,93.1,83.9,0.028,7
414,2018,Western North,Bibiani,Ghana National College,public,117.4,30.3,72.3,73.2,0.04,2
415,2021,Bono East,Kintampo,Adisadel College,private,50.9,29.5,69.5,88.3,0.049,6
416,2021,Western North,Bibiani,Apam SHS,private,48.2,26.2,85.2,85,0.051,8
417,2022,Savannah,Salaga,Apam SHS,public,67.1,30.5,82.9,80.4,0.035,4
418,2025,Greater Accra,Madina,St Augustine's College,private,34.4,26.9,81.1,86.6,0.033,2
419,2022,Greater Accra,Kasoa East,Apam SHS,mission,65.1,32.7,75.5,90.8,0.046,5
420,2019,Upper East,Paga,Adisadel College,public,23.7,26.6,81.8,89.8,0.03,2
421,2021,Volta,Keta,St Augustine's College,public,19.4,26.3,75.8,88.8,0.055,4
422,2024,Savannah,Sawla,St Augustine's College,public,88.2,28.5,81.5,79,0.036,3
423,2020,North East,Walewale,Cape Coast Technical University,public,27.2,32.6,80.2,79.3,0.048,2
424,2023,Western North,Juaboso,Cape Coast Technical University,public,43.5,28.2,76.4,80,0.048,2
425,2020,Western North,Juaboso,Mfantsipim School,mission,55.9,29,83.3,88.3,0.035,1
426,2023,Greater Accra,Tema,Apam SHS,public,100.2,30.6,66.4,83.3,0.038,1
427,2019,Greater Accra,Accra,Mfantsipim School,private,44.9,28,83.8,86.1,0.051,2
428,2021,Eastern,Suhum,Adisadel College,private,66.5,21.5,84,94.1,0.033,4
429,2018,Western,Axim,Wesley Girls,mission,74,28.8,69.9,81.8,0.028,5
430,2023,Eastern,Nsawam,Cape Coast Technical University,public,57.8,28.4,69.7,86.5,0.031,3
431,2024,Oti,Kadjebi,St Augustine's College,mission,41.1,27.8,63.3,67.7,0.046,8
432,2020,Bono,Wenchi,Mfantsipim School,mission,30.5,28.8,84.4,89.2,0.033,3
433,2022,Bono East,Kintampo,Wesley Girls,private,34.5,28.8,77.8,96.6,0.043,1
434,2025,Western,Sekondi-Takoradi,Adisadel College,public,35.5,27.5,69.2,82.5,0.038,3
435,2020,Oti,Dambai,Cape Coast Technical University,public,60.8,28.5,85,85.8,0.052,6
436,2021,Bono East,Kintampo,Ghana National College,public,67.9,30.6,73.4,83.7,0.041,4
437,2023,Northern,Tamale,Cape Coast Technical University,mission,10.2,32.6,72.1,82.4,0.03,4
438,2020,Eastern,Suhum,Cape Coast Technical University,public,57.1,27.4,86.6,80.1,0.051,7
439,2019,Upper East,Navrongo,Mfantsipim School,mission,26.5,32.1,70.5,83.3,0.029,5
440,2024,Oti,Nkwanta South,UCC Practice School,mission,49.3,30.3,76.3,80.5,0.051,6
441,2024,Bono,Berekum,St Augustine's College,private,55.1,25.1,74.5,81.7,0.028,3
442,2022,Upper East,Bolgatanga,UCC Practice School,public,59.2,30.4,74.9,78.6,0.026,6
443,2019,Savannah,Salaga,Mfantsipim School,mission,49.3,29.9,71.5,85.8,0.048,3
444,2018,Bono East,Nkoranza,St Augustine's College,private,25.9,30.7,85.1,78,0.043,5
445,2018,Upper West,Jirapa,Cape Coast Technical University,private,72.3,27.3,75.3,80.6,0.033,5
446,2018,Eastern,Nsawam,Cape Coast Technical University,public,53,25.3,73.8,89,0.055,5
447,2018,Upper East,Bolgatanga,Mfantsipim School,private,79.4,23.9,75.9,89.3,0.045,5
448,2021,Eastern,Akim Oda,Adisadel College,private,22.3,29.8,72.2,80.7,0.033,3
449,2021,Upper West,Lawra,Adisadel College,mission,36.8,31.5,82.2,74.3,0.038,5
450,2021,Upper East,Bolgatanga,UCC Practice School,private,32.9,30.6,75.2,91.8,0.053,4
451,2019,Upper East,Bolgatanga,Apam SHS,mission,38.7,30.8,85.9,84.8,0.032,3
452,2025,Central,Komenda,Adisadel College,public,67.7,33.4,93.4,85.9,0.053,1
453,2019,Volta,Hohoe,Adisadel College,mission,36.3,30.3,70.4,82.4,0.033,3
454,2024,Volta,Hohoe,Adisadel College,mission,43.8,28.5,60.3,79.2,0.027,3
455,2025,Ahafo,Goaso,St Augustine's College,private,20.8,34.2,76.3,81.8,0.034,8
456,2020,Savannah,Bole,UCC Practice School,public,40.7,27.7,70.7,81.9,0.028,3
457,2025,Oti,Jasikan,St Augustine's College,private,103,27,68.8,82.7,0.033,6
458,2022,Eastern,Nsawam,Apam SHS,mission,135.8,32.5,70.3,73.7,0.034,4
459,2025,Volta,Kpando,Ghana National College,mission,37.7,24,79.9,80.7,0.038,6
460,2019,Bono East,Atebubu,Cape Coast Technical University,mission,70.1,26.3,60.3,82.4,0.035,1
461,2020,North East,Chereponi,Adisadel College,public,47.8,27.2,85.4,94.1,0.047,3
462,2018,Oti,Kadjebi,Wesley Girls,public,14.8,25.8,88.4,93,0.055,2
463,2025,Ahafo,Asunafo North,St Augustine's College,public,75.1,29.3,69.2,77.1,0.028,7
464,2018,Western North,Bodi,St Augustine's College,private,33.4,34.4,70.8,86.2,0.041,3
465,2024,Upper East,Navrongo,Ghana National College,private,43.5,28.2,77.2,79.2,0.034,4
466,2019,Upper West,Lawra,St Augustine's College,private,59.2,24.6,74.8,79.9,0.04,9
467,2021,Central,Mfantsiman,Mfantsipim School,private,117.2,24.9,75.3,76.7,0.047,2
468,2024,Bono East,Kintampo,Cape Coast Technical University,public,88.5,30.3,76.1,81.6,0.052,2
469,2020,Central,Komenda,St Augustine's College,public,43.9,28.9,71.4,78.5,0.052,1
470,2023,Northern,Yendi,Mfantsipim School,mission,22.2,31.5,76.7,90.1,0.031,3
471,2024,Greater Accra,Kasoa East,Apam SHS,public,55.3,29.8,70.4,73.9,0.043,3
472,2022,Bono,Berekum,Ghana National College,private,99.8,27.1,80.2,88.4,0.035,4
473,2025,Bono,Sunyani,Mfantsipim School,private,29.6,26.1,73.1,91.8,0.041,4
474,2020,Greater Accra,Madina,Cape Coast Technical University,private,53.5,26.5,66,78.1,0.053,2
475,2021,Ahafo,Tano North,UCC Practice School,public,36.5,29.2,65.3,88.7,0.028,1
476,2025,Upper West,Lawra,Wesley Girls,public,83.7,24.4,76.5,74.5,0.044,8
477,2023,North East,Chereponi,Apam SHS,public,45,25.1,76.5,91.2,0.037,5
478,2021,Bono,Berekum,UCC Practice School,public,49.3,28.6,71.1,74.6,0.052,3
479,2019,Upper West,Jirapa,St Augustine's College,private,34.1,27.8,84.2,86.2,0.033,4
480,2024,North East,Chereponi,Wesley Girls,public,37.7,30.3,89.6,79.9,0.036,5
481,2024,North East,Nalerigu,Apam SHS,mission,41.6,28.4,87,89.6,0.027,4
482,2024,Upper West,Wa,Adisadel College,mission,109.6,27.8,87.4,99,0.039,2
483,2021,Ashanti,Mampong,Ghana National College,public,29.5,30.1,85,83.2,0.045,3
484,2021,Volta,Keta,Ghana National College,mission,28.8,29.3,82.9,76.7,0.032,4
485,2022,Bono,Dormaa,St Augustine's College,public,57.6,29.5,82.9,83.1,0.045,3
486,2021,Upper West,Tumu,Cape Coast Technical University,mission,40.3,21.2,82.6,90.7,0.048,8
487,2023,Oti,Jasikan,UCC Practice School,public,53.6,27.9,77.8,86.2,0.032,5
488,2018,Ahafo,Asutifi South,St Augustine's College,public,68.3,28.4,79.2,99,0.048,6
489,2021,Eastern,Suhum,Ghana National College,public,24,30.3,79.4,84.3,0.054,4
490,2018,Bono,Dormaa,St Augustine's College,private,60.2,33.1,92.1,96.7,0.033,2
491,2025,Northern,Tamale,Mfantsipim School,mission,48.7,26.2,77.6,72.8,0.03,5
492,2025,Ahafo,Goaso,Apam SHS,mission,43.4,26.9,78.1,93.9,0.036,3
493,2022,Volta,Ho,Cape Coast Technical University,public,137.6,32.2,84.2,85.6,0.032,4
494,2023,Western,Sekondi-Takoradi,Cape Coast Technical University,private,72.9,28.6,79.6,83.8,0.049,3
495,2019,North East,Bunkpurugu,Mfantsipim School,private,49.6,29.8,82.1,75.4,0.03,7
496,2025,Volta,Keta,Cape Coast Technical University,private,84.6,25.9,77.4,79.8,0.027,4
497,2018,Western North,Bodi,Apam SHS,private,51.1,27.4,77.6,81.9,0.037,2
498,2019,Greater Accra,Madina,Mfantsipim School,mission,47.1,28.3,84.6,89,0.049,4
499,2023,Upper East,Bolgatanga,Ghana National College,private,41.1,34,63.6,78.2,0.045,2
500,2023,Greater Accra,Accra,Ghana National College,mission,33.6,31.2,79.1,97.3,0.042,3
501,2024,Savannah,Sawla,Cape Coast Technical University,public,20.2,27.6,63.6,67.6,0.04,3
502,2023,Western North,Bodi,Wesley Girls,public,24,28.5,64,82.2,0.045,5
503,2025,North East,Bunkpurugu,Adisadel College,public,28.9,29,59.6,62.3,0.041,3
504,2025,Northern,Tolon,St Augustine's College,private,49,27.9,81.3,84.4,0.049,6
505,2023,North East,Bunkpurugu,UCC Practice School,mission,103.5,28.9,66,82.5,0.052,4
506,2019,Eastern,Nsawam,Ghana National College,mission,99.8,34.4,70.7,79.7,0.031,2
507,2018,Ahafo,Goaso,Apam SHS,private,70,32,83.3,94,0.033,5
508,2020,Western North,Bibiani,Wesley Girls,mission,72.1,28.6,73.7,86.6,0.041,4
509,2021,Ahafo,Tano North,UCC Practice School,private,26.3,32.5,73.1,84.6,0.052,5
510,2024,Upper West,Lawra,Adisadel College,private,27.6,26,86.7,88.7,0.053,3
511,2022,Savannah,Salaga,Mfantsipim School,private,70.1,31.5,80,80.5,0.03,1
512,2023,Greater Accra,Madina,St Augustine's College,mission,13.8,25.3,74.4,81,0.035,4
513,2019,Savannah,Salaga,Apam SHS,private,61.7,23.6,79.4,97.6,0.049,4
514,2020,Bono,Berekum,Ghana National College,private,44.7,29.2,67.8,78.8,0.054,5
515,2025,Bono,Sunyani,Wesley Girls,public,30.6,29.2,72.3,75.4,0.029,3
516,2019,Savannah,Sawla,Apam SHS,public,35.1,31,89.2,96.7,0.04,2
517,2020,Northern,Tolon,UCC Practice School,private,46.3,31.1,66.4,86,0.041,5
518,2022,Western,Tarkwa,Mfantsipim School,private,36.7,33.1,71.7,80.8,0.027,2
519,2024,Oti,Nkwanta South,Adisadel College,public,34.2,28.9,74.2,76.5,0.051,5
520,2020,Bono East,Techiman,Cape Coast Technical University,public,13.8,29,72.7,90.4,0.029,6
521,2025,Western North,Juaboso,Wesley Girls,mission,87.5,32.2,79.1,81.9,0.051,4
522,2024,Bono,Sunyani,Apam SHS,mission,57.6,25.7,78,87.9,0.027,4
523,2024,Upper West,Lawra,Adisadel College,public,38.3,28.6,81.5,90.9,0.055,3
524,2024,Ashanti,Mampong,Cape Coast Technical University,mission,94.8,27,81.3,84.3,0.042,3
525,2025,Central,Mfantsiman,Ghana National College,mission,60.7,26.1,81.1,90.4,0.035,1
526,2022,Northern,Savelugu,Cape Coast Technical University,mission,42.7,30.3,88.1,85.4,0.044,5
527,2021,Volta,Hohoe,Wesley Girls,private,22.9,26.6,85.3,82.1,0.035,3
528,2023,Western,Axim,St Augustine's College,public,31.9,27.5,75.5,73.4,0.029,8
529,2023,Upper East,Bawku,Mfantsipim School,mission,29.3,29,88.9,93.3,0.034,6
530,2024,North East,Bunkpurugu,Wesley Girls,public,13.7,30,72.9,79.5,0.051,4
531,2023,North East,Bunkpurugu,UCC Practice School,private,47.9,32.5,73.5,83,0.034,5
532,2025,Ahafo,Asutifi South,Ghana National College,mission,66.5,31.5,77.3,85.1,0.038,3
533,2020,Northern,Yendi,Ghana National College,private,114.1,31.3,82.3,86.3,0.042,1
534,2025,North East,Bunkpurugu,Adisadel College,private,38.2,26.5,79.6,81.9,0.052,3
535,2023,Volta,Hohoe,Adisadel College,mission,78.2,34.4,75.2,80.1,0.027,4
536,2019,Savannah,Bole,St Augustine's College,private,59.4,28.1,75.7,83.5,0.052,4
537,2025,Volta,Hohoe,Ghana National College,public,18.8,26.8,86.8,72.2,0.048,2
538,2021,Volta,Ho,UCC Practice School,private,55.5,26.9,76.4,69.5,0.038,2
539,2019,Upper West,Lawra,Ghana National College,private,54.1,23,82.6,89.4,0.055,1
540,2019,Bono,Berekum,Ghana National College,mission,51.6,30.3,59,86.8,0.028,4
541,2021,North East,Nalerigu,Mfantsipim School,public,105,24,61.1,81.6,0.048,8
542,2021,Northern,Yendi,Mfantsipim School,public,122.3,25,85.9,96,0.047,2
543,2022,Western,Tarkwa,Ghana National College,mission,32.8,33.9,58.2,81.4,0.054,7
544,2025,Upper East,Bolgatanga,Apam SHS,mission,80.5,33.2,61.7,81,0.05,3
545,2024,Ashanti,Mampong,Mfantsipim School,mission,59.7,25.6,76.8,75.7,0.043,4
546,2025,Western,Axim,Ghana National College,public,39.1,26.2,84.2,87.7,0.033,4
547,2020,Ahafo,Asunafo North,Apam SHS,mission,37.1,31.4,59.8,73.2,0.041,4
548,2022,Western,Shama,Adisadel College,mission,31.5,24.4,77.1,75.3,0.029,4
549,2018,Western,Shama,Adisadel College,public,56.2,27.6,83,89.2,0.041,5
550,2018,Ahafo,Goaso,Apam SHS,mission,27.3,28.2,73.1,83.5,0.032,2
551,2025,Ahafo,Asutifi South,UCC Practice School,mission,28.6,25,75.2,84.5,0.054,6
552,2022,Central,Cape Coast,Mfantsipim School,private,52.5,25.9,83.3,83.8,0.038,2
553,2022,Ashanti,Mampong,Adisadel College,private,54.1,23.7,78.4,93.9,0.031,3
554,2020,Bono East,Atebubu,Cape Coast Technical University,public,103.3,30.2,75.1,87,0.027,3
555,2021,Ahafo,Asutifi South,Adisadel College,private,41.5,27.2,70.7,77.2,0.036,5
556,2018,Ashanti,Mampong,Apam SHS,mission,46.2,23,71.4,81.2,0.028,4
557,2024,Greater Accra,Kasoa East,UCC Practice School,public,53.6,31.3,79.3,75.2,0.04,1
558,2024,Western,Sekondi-Takoradi,UCC Practice School,mission,60.3,31.2,74.3,75.1,0.028,2
559,2021,Northern,Yendi,St Augustine's College,private,93.2,29.9,68.5,77.6,0.051,5
560,2019,Eastern,Koforidua,St Augustine's College,private,40.1,32.9,67.8,81.5,0.04,2
561,2019,Oti,Nkwanta South,Ghana National College,private,78.5,31.7,58.5,77.6,0.049,3
562,2021,Oti,Dambai,Apam SHS,mission,81.8,30.3,70.7,80.9,0.037,3
563,2019,Upper West,Lawra,Wesley Girls,public,60.1,26.9,76.7,62.4,0.049,1
564,2018,Central,Mfantsiman,Wesley Girls,mission,77.8,31.7,86.3,78.7,0.038,6
565,2018,Oti,Jasikan,St Augustine's College,private,24.2,28.4,84.4,82.2,0.046,3
566,2025,Savannah,Bole,Cape Coast Technical University,public,119.8,26.3,72.6,85.9,0.047,2
567,2019,Greater Accra,Madina,Ghana National College,mission,99,29.6,72.1,79.5,0.044,2
568,2018,Northern,Yendi,St Augustine's College,public,36,29.2,72.3,82.3,0.028,3
569,2019,Upper West,Wa,Adisadel College,mission,67.4,29.7,63.7,77,0.037,5
570,2020,Volta,Keta,Ghana National College,private,35.5,29.5,66.8,89.1,0.049,3
571,2020,Ashanti,Mampong,Cape Coast Technical University,public,23.3,26.4,74,84,0.053,7
572,2021,Eastern,Koforidua,Ghana National College,mission,76.1,26.4,74.9,80.8,0.046,3
573,2024,Bono,Berekum,Wesley Girls,public,17.6,31.2,74.4,91.3,0.055,4
574,2024,Oti,Kadjebi,Wesley Girls,mission,50.7,28.8,67.7,77.1,0.034,4
575,2019,Upper East,Bolgatanga,Wesley Girls,mission,26.6,24.6,73.4,80.5,0.03,10
576,2020,Oti,Nkwanta South,Mfantsipim School,public,49.3,26.4,69.2,71.9,0.036,8
577,2025,Bono East,Techiman,Adisadel College,mission,15.3,24.6,87.5,91.3,0.046,4
578,2020,Central,Mfantsiman,UCC Practice School,public,18.8,30,83.7,85.6,0.038,4
579,2018,Central,Cape Coast,Adisadel College,private,30.3,30.1,75.9,86.3,0.046,2
580,2021,Oti,Kadjebi,Adisadel College,mission,27.5,25.3,86.8,95.1,0.047,2
581,2021,North East,Bunkpurugu,Adisadel College,mission,36.8,26.1,80.5,95.4,0.044,4
582,2025,Central,Cape Coast,Cape Coast Technical University,private,65.3,29.8,78.1,81.8,0.049,1
583,2020,Ashanti,Obuasi,Adisadel College,public,14.1,27.3,78.3,85.1,0.033,5
584,2020,Volta,Keta,Apam SHS,mission,54.3,25.4,64.5,80.5,0.03,2
585,2021,Ashanti,Kumasi,Cape Coast Technical University,public,55.9,31,80.4,86.2,0.028,6
586,2023,Upper East,Bolgatanga,Adisadel College,public,46.3,28.5,84.4,85.6,0.055,2
587,2025,Ahafo,Asutifi South,Mfantsipim School,mission,32.1,22.7,81.8,92.1,0.047,3
588,2018,Ashanti,Mampong,Ghana National College,mission,23.3,28.4,78.3,81.4,0.033,4
589,2022,Ahafo,Asutifi South,Apam SHS,private,22.9,35.2,80.5,95.7,0.04,2
